episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
89,42720,-7033.6062,0.1013,-0.1942,0.1092,0.0,122.5
90,43200,-5884.2169,0.0878,-0.1965,0.1047,0.0,122.6
91,43680,-11321.7922,0.2361,-0.0224,0.1622,0.0,122.7
92,44160,-12282.7065,0.2156,-0.0395,0.1534,0.0,122.8
93,44640,-15069.753,0.1981,-0.0653,0.1337,0.0,122.8
94,45120,-11812.0567,0.1779,-0.1066,0.1265,0.0,133.3
95,45600,-5963.4564,0.0966,-0.1994,0.0963,0.0,133.4
96,46080,-8814.752,0.1629,-0.1233,0.1319,0.0,133.5
97,46560,-10661.5547,0.1002,-0.2099,0.1126,0.0,133.6
98,47040,-9206.4753,0.1888,-0.0835,0.1361,0.0,133.7
99,47520,-8141.7716,0.2108,-0.0602,0.1471,0.0,133.8
100,48000,-11907.4118,0.203,-0.0701,0.1447,0.0,133.9
101,48480,-11392.8589,0.1757,-0.0975,0.1237,0.0,134.0
102,48960,-8196.7718,0.2417,-0.007,0.1571,0.0,134.1
103,49440,-10032.3443,0.2223,-0.0451,0.1569,0.0,145.0
104,49920,-14094.1722,0.1539,-0.1292,0.1229,0.0,145.1
105,50400,-14441.2826,0.2487,0.0055,0.167,0.0,145.2
106,50880,-11473.4108,0.2205,-0.0416,0.1583,0.0,145.3
107,51360,-8725.9851,0.09,-0.2037,0.1023,0.0,145.4
108,51840,-20336.9844,0.0944,-0.2056,0.0991,0.0,145.5
109,52320,-9601.1222,0.1032,-0.1904,0.1027,0.0,145.6
110,52800,-13261.6866,0.2603,0.0091,0.1547,0.0,145.7
111,53280,-9947.6557,0.1048,-0.1967,0.0917,0.0,156.8
112,53760,-11126.5713,0.0997,-0.2108,0.1005,0.0,156.9
113,54240,-13080.1586,0.1016,-0.1949,0.1003,0.0,157.0
114,54720,-8256.2486,0.1834,-0.1041,0.144,0.0,157.1
115,55200,-13263.7811,0.101,-0.2053,0.1083,0.0,157.2
116,55680,-8038.3509,0.1918,-0.0763,0.1448,0.0,157.3
117,56160,-12572.1713,0.2135,-0.0646,0.1523,0.0,157.4
118,56640,-11148.8499,0.2342,-0.0284,0.1588,0.0,157.5
119,57120,-4936.3455,0.1043,-0.1952,0.0989,0.0,157.5
120,57600,-1756.0654,0.1635,-0.1292,0.1328,0.0,168.8
121,58080,-11723.8473,0.2215,-0.0344,0.1454,0.0,168.9
122,58560,-15994.0265,0.259,0.0086,0.1636,0.0,168.9
123,59040,-19650.7584,0.243,-0.0287,0.1675,0.0,169.0
124,59520,-6800.7035,0.0995,-0.1945,0.0993,0.0,169.1
125,60000,-9440.4977,0.242,-0.0233,0.1667,0.0,169.2
126,60480,-6795.4898,0.1814,-0.0768,0.1368,0.0,169.3
127,60960,-16185.6478,0.0985,-0.2013,0.0938,0.0,169.4
128,61440,-4189.5365,0.0987,-0.2029,0.1078,0.0,169.5
129,61920,-10544.8132,0.206,-0.0576,0.1471,0.0,180.2
130,62400,-10621.4547,0.2298,-0.0403,0.153,0.0,180.3
131,62880,-7205.71,0.2126,-0.0544,0.1505,0.0,180.4
132,63360,-10467.8641,0.2078,-0.0808,0.1435,0.0,180.5
133,63840,-4240.8298,0.2514,-0.0041,0.1637,0.0,180.6
134,64320,-9760.6849,0.0998,-0.2087,0.1156,0.0,180.7
135,64800,-14767.2207,0.1904,-0.0844,0.1445,0.0,180.8
136,65280,-2139.248,0.0998,-0.1971,0.0999,0.0,180.9
137,65760,-14214.7672,0.261,0.0148,0.164,0.0,191.9
138,66240,-4065.4319,0.0971,-0.206,0.1015,0.0,192.0
139,66720,-10815.6164,0.2388,-0.0248,0.1602,0.0,192.1
140,67200,-3970.1988,0.2062,-0.068,0.155,0.0,192.2
141,67680,-10565.7404,0.0941,-0.1981,0.0898,0.0,192.3
142,68160,-9452.4824,0.2205,-0.0399,0.1542,0.0,192.4
143,68640,-15204.958,0.2442,-0.0083,0.1573,0.0,192.5
144,69120,-3404.4198,0.1985,-0.0884,0.1486,0.0,192.6
145,69600,-19000.1472,0.094,-0.207,0.1003,0.0,192.7
146,70080,-9472.3828,0.0951,-0.2022,0.1026,0.0,204.9
147,70560,-21134.7891,0.2243,-0.0548,0.1576,0.0,205.0
148,71040,-14926.6256,0.1653,-0.1143,0.1288,0.0,205.1
149,71520,-6048.2208,0.2073,-0.0697,0.1449,0.0,205.2
150,72000,-10371.4479,0.1008,-0.2086,0.0983,0.0,205.3
151,72480,-9641.6275,0.0999,-0.2057,0.1023,0.0,205.3
152,72960,-19300.6966,0.098,-0.1903,0.0944,0.0,205.4
153,73440,-11798.4676,0.1029,-0.1992,0.0979,0.0,205.5
154,73920,-14082.4903,0.2128,-0.0626,0.1436,0.0,216.6
155,74400,-18497.7933,0.207,-0.0518,0.1575,0.0,216.7
156,74880,-7685.0709,0.1777,-0.0998,0.1376,0.0,216.8
157,75360,-8614.5129,0.2,-0.0625,0.1525,0.0,216.9
158,75840,-13021.4526,0.2094,-0.0657,0.1458,0.0,217.0
159,76320,-5570.3419,0.2007,-0.0664,0.1547,0.0,217.1
160,76800,-15060.2312,0.2241,-0.0548,0.1468,0.0,217.1
161,77280,-19670.6908,0.1984,-0.0686,0.1403,0.0,217.2
162,77760,-12053.392,0.2176,-0.052,0.1579,0.0,217.3
163,78240,-20170.2335,0.2344,-0.0064,0.1554,0.0,229.6
164,78720,-16331.0375,0.2361,-0.017,0.1631,0.0,229.7
165,79200,-2422.0141,0.0983,-0.1938,0.096,0.0,229.8
166,79680,-17832.9271,0.2153,-0.0541,0.1578,0.0,229.9
167,80160,-14266.9574,0.1017,-0.1964,0.1004,0.0,230.0
168,80640,-10043.2388,0.1005,-0.195,0.0983,0.0,230.1
169,81120,-12681.2189,0.1804,-0.0941,0.1347,0.0,230.2
