episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
99,47520,-12019.9329,0.0,0.0,0.0,0.0,212.3
100,48000,-11748.9069,0.0,0.0,0.0,0.0,212.4
101,48480,-10919.471,0.0,0.0,0.0,0.0,212.5
102,48960,-8370.9447,0.0,0.0,0.0,0.0,212.6
103,49440,-8342.9265,0.0,0.0,0.0,0.0,227.4
104,49920,-15157.8512,0.0,0.0,0.0,0.0,227.5
105,50400,-12960.5187,0.0,0.0,0.0,0.0,227.6
106,50880,-11395.8273,0.0,0.0,0.0,0.0,227.7
107,51360,-11310.3975,0.0,0.0,0.0,0.0,227.9
108,51840,-21428.2965,0.0,0.0,0.0,0.0,228.0
109,52320,-7380.8222,0.0,0.0,0.0,0.0,228.1
110,52800,-13170.7083,0.0,0.0,0.0,0.0,228.2
111,53280,-9519.4561,0.0,0.0,0.0,0.0,243.2
112,53760,-11773.5531,0.0,0.0,0.0,0.0,243.3
113,54240,-13870.4227,0.0,0.0,0.0,0.0,243.4
114,54720,-7065.4314,0.0,0.0,0.0,0.0,243.5
115,55200,-12971.8345,0.0,0.0,0.0,0.0,243.6
116,55680,-10122.8767,0.0,0.0,0.0,0.0,243.8
117,56160,-11830.5682,0.0,0.0,0.0,0.0,243.9
118,56640,-12080.5165,0.0,0.0,0.0,0.0,244.0
119,57120,-4730.1809,0.0,0.0,0.0,0.0,244.1
120,57600,-2093.2992,0.0,0.0,0.0,0.0,260.4
121,58080,-6170.2426,0.0,0.0,0.0,0.0,260.5
122,58560,-17648.8645,0.0,0.0,0.0,0.0,260.6
123,59040,-19331.5134,0.0,0.0,0.0,0.0,260.7
124,59520,-6990.5222,0.0,0.0,0.0,0.0,260.8
125,60000,-11962.5638,0.0,0.0,0.0,0.0,260.9
126,60480,-7216.4028,0.0,0.0,0.0,0.0,261.0
127,60960,-16619.9766,0.0,0.0,0.0,0.0,261.1
128,61440,-4596.7897,0.0,0.0,0.0,0.0,261.2
129,61920,-10578.1331,0.0,0.0,0.0,0.0,275.7
130,62400,-10608.8173,0.0,0.0,0.0,0.0,275.9
131,62880,-8324.6828,0.0,0.0,0.0,0.0,276.0
132,63360,-9342.4837,0.0,0.0,0.0,0.0,276.1
133,63840,-8130.4963,0.0,0.0,0.0,0.0,276.2
134,64320,-11234.0933,0.0,0.0,0.0,0.0,276.3
135,64800,-11077.306,0.0,0.0,0.0,0.0,276.5
136,65280,-1929.7283,0.0,0.0,0.0,0.0,276.6
137,65760,-11613.8997,0.0,0.0,0.0,0.0,290.9
138,66240,-1588.1318,0.0,0.0,0.0,0.0,291.0
139,66720,-10001.6796,0.0,0.0,0.0,0.0,291.1
140,67200,-2546.8935,0.0,0.0,0.0,0.0,291.2
141,67680,-10035.2209,0.0,0.0,0.0,0.0,291.4
142,68160,-9681.9474,0.0,0.0,0.0,0.0,291.5
143,68640,-20322.0558,0.0,0.0,0.0,0.0,291.6
144,69120,-2315.1732,0.0,0.0,0.0,0.0,291.7
145,69600,-18080.9744,0.0,0.0,0.0,0.0,291.8
146,70080,-10221.6593,0.0,0.0,0.0,0.0,307.8
147,70560,-20563.5533,0.0,0.0,0.0,0.0,308.0
148,71040,-15756.1426,0.0,0.0,0.0,0.0,308.1
149,71520,-1833.8101,0.0,0.0,0.0,0.0,308.2
150,72000,-8670.386,0.0,0.0,0.0,0.0,308.3
151,72480,-10065.0275,0.0,0.0,0.0,0.0,308.4
152,72960,-19343.2764,0.0,0.0,0.0,0.0,308.5
153,73440,-11887.8029,0.0,0.0,0.0,0.0,308.6
154,73920,-14073.6232,0.0,0.0,0.0,0.0,323.2
155,74400,-16124.4307,0.0,0.0,0.0,0.0,323.3
156,74880,-7536.8225,0.0,0.0,0.0,0.0,323.4
157,75360,-10648.72,0.0,0.0,0.0,0.0,323.5
158,75840,-13322.7406,0.0,0.0,0.0,0.0,323.6
159,76320,-2576.6961,0.0,0.0,0.0,0.0,323.7
160,76800,-15240.481,0.0,0.0,0.0,0.0,323.8
161,77280,-14189.8803,0.0,0.0,0.0,0.0,323.9
162,77760,-9129.6387,0.0,0.0,0.0,0.0,324.0
163,78240,-16212.5522,0.0,0.0,0.0,0.0,339.6
164,78720,-16244.0051,0.0,0.0,0.0,0.0,339.7
165,79200,-2546.1225,0.0,0.0,0.0,0.0,339.8
166,79680,-17568.0937,0.0,0.0,0.0,0.0,339.9
167,80160,-12568.5154,0.0,0.0,0.0,0.0,340.0
